Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-06,Seattle Mariners,San Francisco Giants,6.0
2025-04-06,Tampa Bay Rays,Texas Rangers,2.0
2025-04-06,Arizona Diamondbacks,Washington Nationals,7.0
2025-04-07,Baltimore Orioles,Arizona Diamondbacks,6.0
2025-04-07,San Diego Padres,Athletics,7.0
2025-04-07,Toronto Blue Jays,Boston Red Sox,4.0
2025-04-07,Texas Rangers,Chicago Cubs,3.0
2025-04-07,New York Yankees,Detroit Tigers,6.0
2025-04-07,Minnesota Twins,Kansas City Royals,4.0
2025-04-07,Miami Marlins,New York Mets,1.0
2025-04-07,St. Louis Cardinals,Pittsburgh Pirates,5.0
2025-04-07,Cincinnati Reds,San Francisco Giants,0.0
2025-04-07,Houston Astros,Seattle Mariners,2.0
2025-04-07,Los Angeles Dodgers,Washington Nationals,5.0
2025-04-08,Baltimore Orioles,Arizona Diamondbacks,6.0
2025-04-08,San Diego Padres,Athletics,13.0
2025-04-08,Philadelphia Phillies,Atlanta Braves,8.0
2025-04-08,Toronto Blue Jays,Boston Red Sox,0.0
2025-04-08,Texas Rangers,Chicago Cubs,9.0
2025-04-08,Chicago White Sox,Cleveland Guardians,0.0
2025-04-08,Milwaukee Brewers,Colorado Rockies,5.0
2025-04-08,New York Yankees,Detroit Tigers,5.0
2025-04-08,Minnesota Twins,Kansas City Royals,2.0
2025-04-08,Miami Marlins,New York Mets,8.0
2025-04-08,St. Louis Cardinals,Pittsburgh Pirates,4.0
2025-04-08,Cincinnati Reds,San Francisco Giants,1.0
2025-04-08,Houston Astros,Seattle Mariners,0.0
2025-04-08,Los Angeles Angels,Tampa Bay Rays,2.0
2025-04-08,Los Angeles Dodgers,Washington Nationals,9.0
2025-04-09,Baltimore Orioles,Arizona Diamondbacks,7.0
2025-04-09,San Diego Padres,Athletics,3.0
2025-04-09,Philadelphia Phillies,Atlanta Braves,0.0
2025-04-09,Toronto Blue Jays,Boston Red Sox,2.0
2025-04-09,Texas Rangers,Chicago Cubs,6.0
2025-04-09,Chicago White Sox,Cleveland Guardians,4.0
2025-04-09,Milwaukee Brewers,Colorado Rockies,12.0
2025-04-09,New York Yankees,Detroit Tigers,0.0
2025-04-09,Minnesota Twins,Kansas City Royals,1.0
2025-04-09,Miami Marlins,New York Mets,2.0
2025-04-09,St. Louis Cardinals,Pittsburgh Pirates,0.0
2025-04-09,Cincinnati Reds,San Francisco Giants,6.0
2025-04-09,Houston Astros,Seattle Mariners,4.0
2025-04-09,Los Angeles Angels,Tampa Bay Rays,7.0
2025-04-09,Los Angeles Dodgers,Washington Nationals,9.0
2025-04-10,Philadelphia Phillies,Atlanta Braves,2.0
2025-04-10,Toronto Blue Jays,Boston Red Sox,0.0
2025-04-10,Chicago White Sox,Cleveland Guardians,6.0
2025-04-10,Milwaukee Brewers,Colorado Rockies,2.0
2025-04-10,Minnesota Twins,Kansas City Royals,2.0
2025-04-10,Los Angeles Angels,Tampa Bay Rays,11.0
2025-04-11,Milwaukee Brewers,Arizona Diamondbacks,3.0
2025-04-11,New York Mets,Athletics,4.0
2025-04-11,Toronto Blue Jays,Baltimore Orioles,0.0
2025-04-11,Boston Red Sox,Chicago White Sox,7.0
2025-04-11,Pittsburgh Pirates,Cincinnati Reds,8.0
2025-04-11,Kansas City Royals,Cleveland Guardians,3.0
2025-04-11,Los Angeles Angels,Houston Astros,9.0
2025-04-11,Chicago Cubs,Los Angeles Dodgers,0.0
2025-04-11,Washington Nationals,Miami Marlins,4.0
2025-04-11,Detroit Tigers,Minnesota Twins,5.0
2025-04-11,San Francisco Giants,New York Yankees,9.0
2025-04-11,Colorado Rockies,San Diego Padres,6.0
2025-04-11,Texas Rangers,Seattle Mariners,4.0
2025-04-11,Philadelphia Phillies,St. Louis Cardinals,2.0
2025-04-11,Atlanta Braves,Tampa Bay Rays,4.0
2025-04-12,Milwaukee Brewers,Arizona Diamondbacks,2.0
2025-04-12,New York Mets,Athletics,2.0
2025-04-12,Toronto Blue Jays,Baltimore Orioles,5.0
2025-04-12,Boston Red Sox,Chicago White Sox,2.0
2025-04-12,Pittsburgh Pirates,Cincinnati Reds,5.0
2025-04-12,Kansas City Royals,Cleveland Guardians,3.0
2025-04-12,Los Angeles Angels,Houston Astros,4.0
2025-04-12,Chicago Cubs,Los Angeles Dodgers,1.0
2025-04-12,Washington Nationals,Miami Marlins,9.0
2025-04-12,Detroit Tigers,Minnesota Twins,2.0
2025-04-12,San Francisco Giants,New York Yankees,9.0
2025-04-12,Colorado Rockies,San Diego Padres,2.0
2025-04-12,Texas Rangers,Seattle Mariners,6.0
2025-04-12,Philadelphia Phillies,St. Louis Cardinals,3.0
2025-04-12,Atlanta Braves,Tampa Bay Rays,2.0
2025-04-13,Milwaukee Brewers,Arizona Diamondbacks,3.0
2025-04-13,New York Mets,Athletics,0.0
2025-04-13,Toronto Blue Jays,Baltimore Orioles,6.0
2025-04-13,Boston Red Sox,Chicago White Sox,0.0
2025-04-13,Pittsburgh Pirates,Cincinnati Reds,4.0
2025-04-13,Kansas City Royals,Cleveland Guardians,6.0
2025-04-13,Los Angeles Angels,Houston Astros,7.0
2025-04-13,Chicago Cubs,Los Angeles Dodgers,2.0
2025-04-13,Washington Nationals,Miami Marlins,6.0
2025-04-13,Detroit Tigers,Minnesota Twins,3.0
2025-04-13,San Francisco Giants,New York Yankees,4.0
2025-04-13,Colorado Rockies,San Diego Padres,5.0
